data_venda,marca,modelo,ano_exato,escalao_idade,escalao_kms,combustivel,price_range,canal,country_of_origin,total_vendas
2026-07-30,Volkswagen,Golf VII,2016,04. 2013-2016,4. 150-200k,Diesel,2. 2.5k-5k,Stock Importação,IT,1
2026-07-30,Ford,Fiesta,1999,05. < 2013,5. 200-250k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-30,Peugeot,3008,2022,02. 2021-2024,3. 100-150k,Diesel,4. 10k-15k,Stock Importação,FR,1
2026-07-30,Fiat,Linea,2008,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-30,Peugeot,5008,2021,02. 2021-2024,3. 100-150k,Gasolina,4. 10k-15k,Stock PT,FR,1
2026-07-30,Peugeot,2008,2022,02. 2021-2024,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-29,Peugeot,2008,2021,02. 2021-2024,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-29,Peugeot,Partner,2007,05. < 2013,5. 200-250k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Audi,A3 Sportback,2015,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Peugeot,5008,2020,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Peugeot,308,2017,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Seat,Ibiza,2009,05. < 2013,5. 200-250k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Nissan,Qashqai+2,2013,04. 2013-2016,6. 250k+,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Citroen,C5 Aircross,2021,02. 2021-2024,2. 50-100k,Híbrido,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Toyota,Yaris,2006,05. < 2013,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Mercedes-Benz,SLK-Klasse,2012,05. < 2013,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-29,Peugeot,308,2011,05. < 2013,5. 200-250k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Renault,Twizy,2021,02. 2021-2024,1. 0-50k,Elétrico,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Mercedes-Benz,SLK-Klasse,2002,05. < 2013,5. 200-250k,Gasolina,1. 0-2.5k,Stock Importação,NL,1
2026-07-29,Peugeot,RCZ,2011,05. < 2013,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Renault,Megane E-Tech,2022,02. 2021-2024,1. 0-50k,Elétrico,5. 15k-20k,Stock Importação,FR,1
2026-07-29,Mercedes-Benz,CLA-Klasse,2020,03. 2017-2020,3. 100-150k,Gasolina,7. 25k+,Stock PT,DE,1
2026-07-29,Skoda,Octavia,2020,03. 2017-2020,3. 100-150k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-29,Nissan,Juke,2016,04. 2013-2016,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Aiways,U5,2020,03. 2017-2020,3. 100-150k,Elétrico,4. 10k-15k,Stock Importação,DE,1
2026-07-29,Peugeot,308,2017,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Audi,A6,2000,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Citroen,C4 Picasso,2018,03. 2017-2020,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Peugeot,3008,2019,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Seat,Leon,2015,04. 2013-2016,3. 100-150k,Diesel,3. 5k-10k,Stock Importação,DE,1
2026-07-29,Peugeot,2008,2022,02. 2021-2024,1. 0-50k,Gasolina,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Hyundai,H1,1998,05. < 2013,3. 100-150k,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Mercedes-Benz,C-Klasse,2011,05. < 2013,5. 200-250k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Peugeot,308,2019,03. 2017-2020,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Opel,Crossland X,2019,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,BMW,1er,2013,04. 2013-2016,4. 150-200k,Diesel,2. 2.5k-5k,Stock Importação,DE,1
2026-07-29,Mitsubishi,Colt,2005,05. < 2013,3. 100-150k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Toyota,Prius+,2014,04. 2013-2016,5. 200-250k,Híbrido,3. 5k-10k,Stock Importação,IT,1
2026-07-29,MINI,MINI,2011,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock Importação,DE,1
2026-07-29,Mercedes-Benz,E-Klasse,1997,05. < 2013,6. 250k+,Gasolina,1. 0-2.5k,Stock PT,PT,1
